Assessment,Question Text,Trait/Category
Love Languages,I feel loved when people affirm me.,A
Love Languages,I like to sit close to people whom I enjoy being around.,P
Love Languages,I like for people to tell me I am beautiful/handsome.,A
Love Languages,I like to spend time with friends and loved ones.,T
Love Languages,I like to receive little gifts from friends and loved ones.,G
Love Languages,Words of acceptance are important to me.,A
Love Languages,I know someone loves me when he/she helps me.,S
Love Languages,I like being together and doing things with friends and loved ones.,T
Love Languages,I like it when kind words are spoken to me.,A
Love Languages,What someone does affects me more than what he/she says.,P
Love Languages,Hugs make me feel connected and valued.,S
Love Languages,I value praise and try to avoid criticism.,A
Love Languages,Several inexpensive gifts mean more to me than one large expensive gift.,G
Love Languages,I feel close to someone when we are talking or doing something together.,T
Love Languages,I feel closer to friends and loved ones when they touch me often.,P
Love Languages,I like for people to compliment my achievements.,A
Love Languages,I know people love me when they do things for me that they don't enjoy doing.,S
Love Languages,I like to be touched as friends and loved ones walk by.,P
Love Languages,I like it when people listen to me and show genuine interest in what I am saying.,T
Love Languages,I feel loved when friends and loved ones help me with jobs or projects.,G
Love Languages,I really enjoy receiving gifts from friends and loved ones.,S
Love Languages,I like for people to compliment my appearance.,A
Love Languages,I feel loved when people take time to understand my feelings.,T
Love Languages,I feel secure when a special person is touching me.,P
Love Languages,Acts of service make me feel loved.,S
Love Languages,I appreciate the many things that special people do for me.,S
Love Languages,I like receiving gifts that special people make for me.,G
Love Languages,I really enjoy the feeling I get when someone gives me undivided attention.,T
Love Languages,I really enjoy the feeling I get when someone does some act of service for me.,S
Love Languages,I feel loved when a person celebrates my birthday with a gift.,G
Love Languages,I feel loved when a person celebrates my birthday with meaningful words.,A
Love Languages,I know a person is thinking of me when he/she gives me a gift.,G
Love Languages,I feel loved when a person helps with my chores.,S
Love Languages,I appreciate it when someone listens patiently and doesn't interrupt me.,T
Love Languages,I appreciate it when someone remembers special days with a gift.,G
Love Languages,I like knowing loved ones are concerned enough to help with my daily tasks.,T
Love Languages,I enjoy extended trips with someone who is special to me.,S
Love Languages,I enjoy kissing or being kissed by people with whom I am close.,P
Love Languages,I enjoy receiving a gift given for no special reason.,G
Love Languages,I like to be told that I am appreciated.,A
Love Languages,I like for a person to look at me when we are talking.,T
Love Languages,Gifts from a friend or loved one are always special to me.,G
Love Languages,I feel good when a friend or loved one touches me.,P
Love Languages,I feel loved when a person enthusiastically does some task I have requested.,S
Love Languages,I feel loved when I am told how much I am needed.,A
Love Languages,I need to be touched every day.,P
Love Languages,I need words of affirmation every day.,A
Attachment Style,I prefer not to show a partner how I feel deep down.,Avoidance
Attachment Style,I worry about being abandoned.,Anxiety
Attachment Style,I am very comfortable being close to romantic partners.,Avoidance
Attachment Style,I worry a lot about my relationships.,Anxiety
Attachment Style,Just when my partner starts to get close to me I find myself pulling away.,Avoidance
Attachment Style,I worry that romantic partners won't care about me as much as I care about them.,Anxiety
Attachment Style,I get uncomfortable when a romantic partner wants to be very close.,Avoidance
Attachment Style,I worry a fair amount about losing my partner.,Anxiety
Attachment Style,I don't feel comfortable opening up to romantic partners.,Avoidance
Attachment Style,I often wish that my partner's feelings for me were as strong as my feelings for him or her.,Anxiety
Attachment Style,"I want to get close to my partner, but I keep pulling back.",Avoidance
Attachment Style,"I often want to merge completely with romantic partners, and this sometimes scares them away.",Anxiety
Attachment Style,I am nervous when partners get too close to me.,Avoidance
Attachment Style,I worry about being alone.,Anxiety
Attachment Style,I feel comfortable sharing my private thoughts and feelings with my partner.,Avoidance
Attachment Style,My desire to be very close sometimes scares people away.,Anxiety
Attachment Style,I try to avoid getting too close to my partner.,Avoidance
Attachment Style,I need a lot of reassurance that I am loved by my partner.,Anxiety
Attachment Style,I find it relatively easy to get close to my partner.,Avoidance
Attachment Style,"Sometimes I feel that I force my partners to show more feeling, more commitment.",Anxiety
Attachment Style,I find it difficult to allow myself to depend on romantic partners.,Avoidance
Attachment Style,I do not often worry about being abandoned.,Anxiety
Attachment Style,I prefer not to be too close to romantic partners.,Avoidance
Attachment Style,"If I can't get my partner to show interest in me, I get upset or angry.",Anxiety
Attachment Style,I tell my partner just about everything.,Avoidance
Attachment Style,I find that my partner(s) don't want to get as close as I would like.,Anxiety
Attachment Style,I usually discuss my problems and concerns with my partner.,Avoidance
Attachment Style,"When I'm not involved in a relationship, I feel somewhat anxious and incomplete.",Anxiety
Attachment Style,I feel comfortable depending on romantic partners.,Avoidance
Attachment Style,I get frustrated when my partner is not around as much as I would like.,Anxiety
Attachment Style,"I don't mind asking romantic partners for comfort, advice, or help.",Avoidance
Attachment Style,I get frustrated if romantic partners are not available when I need them.,Anxiety
Attachment Style,It helps to turn to my romantic partner in times of need.,Avoidance
Attachment Style,"When romantic partners disapprove of me, I feel really bad about myself.",Anxiety
Attachment Style,"I turn to my partner for many things, including comfort and reassurance.",Avoidance
Attachment Style,I resent it when my partner spends time away from me.,Anxiety
Conflict Styles,"When we disagree, we usually make an effort to hear each other's perspective before responding.",Validating
Conflict Styles,We tend to find a compromise that both of us can feel good about.,Validating
Conflict Styles,"During arguments, we make sure each other's feelings are acknowledged and validated.",Validating
Conflict Styles,Our disagreements are usually calm conversations rather than intense emotional fights.,Validating
Conflict Styles,Our arguments tend to get very passionate and heated.,Volatile
Conflict Styles,We both express our feelings very openly and intensely during conflicts.,Volatile
Conflict Styles,"We often debate and argue intensely, but we also make up quickly and with a lot of warmth.",Volatile
Conflict Styles,We both feel strongly about our opinions and will defend them vigorously during an argument.,Volatile
Conflict Styles,We tend to let minor issues go rather than start an argument about them.,Conflict-Avoiding
Conflict Styles,We prefer to focus on what we agree on and minimize our differences.,Conflict-Avoiding
Conflict Styles,"In our relationship, talking about problems usually just makes things worse.",Conflict-Avoiding
Conflict Styles,"When tensions rise between us, we both tend to step back rather than engage.",Conflict-Avoiding
Conflict Styles,"During our worst arguments, sarcasm, name-calling, or personal attacks tend to come out.",Hostile
Conflict Styles,"In fights, we tend to criticize each other's personality or character rather than the specific issue.",Hostile
Conflict Styles,Our arguments often feel like a competition where one of us has to win.,Hostile
Conflict Styles,"During disagreements, we both get defensive and blame each other.",Hostile
Conflict Styles,"In our arguments, one of us tends to pursue the issue intensely while the other shuts down completely.",Hostile-Detached
Conflict Styles,"During our worst conflicts, we feel emotionally disconnected from each other — like we're in different worlds.",Hostile-Detached
Conflict Styles,Our arguments often follow a pattern of attacking each other and then completely withdrawing.,Hostile-Detached
Conflict Styles,"After a fight, we both walk away feeling lonely and deeply misunderstood.",Hostile-Detached
